Date,temp_AVG,Année,Mois,Nom_Mois
200501,6.15052767052767,2005,1,Janvier
200502,3.262805662805663,2005,2,Février
200503,-0.3285971685971686,2005,3,Mars
200504,8.405225225225225,2005,4,Avril
200505,12.134131274131274,2005,5,Mai
200506,14.93260422027792,2005,6,Juin
200507,16.483299022130726,2005,7,Juillet
200508,17.14782496782497,2005,8,Août
200509,18.755072090628218,2005,9,Septembre
200510,12.043022657054582,2005,10,Octobre
200511,10.338568486096808,2005,11,Novembre
200512,4.07721421215242,2005,12,Décembre
200601,1.9348094747682802,2006,1,Janvier
200602,1.0169155509783727,2006,2,Février
200603,3.307672502574665,2006,3,Mars
200604,7.312303732303732,2006,4,Avril
200605,12.63024453024453,2006,5,Mai
200606,14.892535392535393,2006,6,Juin
200607,20.845714285714287,2006,7,Juillet
200608,17.36746460746461,2006,8,Août
200609,19.236344916344915,2006,9,Septembre
200610,13.64776119402985,2006,10,Octobre
200611,6.729644879053011,2006,11,Novembre
200612,7.958095238095238,2006,12,Décembre
200701,7.8394594594594595,2007,1,Janvier
200702,4.986074646074647,2007,2,Février
200703,8.00960102960103,2007,3,Mars
200704,9.295649935649935,2007,4,Avril
200705,12.91966537966538,2007,5,Mai
200706,16.70919155509784,2007,6,Juin
200707,15.463414006179198,2007,7,Juillet
200708,17.234757981462412,2007,8,Août
200709,14.516838311019567,2007,9,Septembre
200710,14.428913491246139,2007,10,Octobre
200711,7.475978372811535,2007,11,Novembre
200712,7.794309989701339,2007,12,Décembre
200801,5.1928424304840375,2008,1,Janvier
200802,4.927490347490347,2008,2,Février
200803,5.373848133848134,2008,3,Mars
200804,7.006460746460746,2008,4,Avril
200805,14.602059202059202,2008,5,Mai
200806,14.618841698841699,2008,6,Juin
200807,17.53683397683398,2008,7,Juillet
200808,19.08558929490479,2008,8,Août
200809,16.38147195059187,2008,9,Septembre
200810,10.967104247104245,2008,10,Octobre
200811,9.300231660231661,2008,11,Novembre
200812,3.2365765765765766,2008,12,Décembre
200901,-2.0366537966537965,2009,1,Janvier
200902,3.1743114543114546,2009,2,Février
200903,4.863474903474903,2009,3,Mars
200904,9.966271884654995,2009,4,Avril
200905,12.607852729145211,2009,5,Mai
200906,15.040499485066942,2009,6,Juin
200907,18.54155509783728,2009,7,Juillet
200908,18.785066941297632,2009,8,Août
200909,16.441529351184347,2009,9,Septembre
200910,14.85764675592173,2009,10,Octobre
200911,7.4643408856848605,2009,11,Novembre
200912,6.952921492921493,2009,12,Décembre
200501,5.8292492092558685,2005,1,Janvier
200502,2.936457466289329,2005,2,Février
200503,-0.7368403529215914,2005,3,Mars
200504,8.392192442150824,2005,4,Avril
200505,12.224171799567173,2005,5,Mai
200506,15.003779553779554,2005,6,Juin
200507,16.53333333333333,2005,7,Juillet
200508,17.246479107707675,2005,8,Août
200509,18.812832889480692,2005,9,Septembre
200510,11.893059254327563,2005,10,Octobre
200511,9.991261651131824,2005,11,Novembre
200512,3.725982023968043,2005,12,Décembre
200601,1.5508988015978693,2006,1,Janvier
200602,0.5229027962716378,2006,2,Février
200603,3.074201065246338,2006,3,Mars
200604,7.295022473780588,2006,4,Avril
200605,12.751573164641252,2006,5,Mai
200606,14.830614283336107,2006,6,Juin
200607,20.972848343599132,2006,7,Juillet
200608,17.378974529715332,2006,8,Août
200609,19.32540369568836,2006,9,Septembre
200610,13.488344988344988,2006,10,Octobre
200611,6.327805527805528,2006,11,Novembre
200612,7.702064258365241,2006,12,Décembre
200701,7.641984351589812,2007,1,Janvier
200702,4.630364574662893,2007,2,Février
200703,7.921474945896454,2007,3,Mars
200704,9.21436657233228,2007,4,Avril
200705,12.888862993174628,2007,5,Mai
200706,16.88242343541944,2007,6,Juin
200707,15.52157123834887,2007,7,Juillet
200708,17.326131824234352,2007,8,Août
200709,14.423135818908122,2007,9,Septembre
200710,14.358455392809589,2007,10,Octobre
200711,7.098718375499334,2007,11,Novembre
200712,7.562733022636485,2007,12,Décembre
200801,4.866561251664447,2008,1,Janvier
200802,4.585200599300816,2008,2,Février
200803,5.197303146329283,2008,3,Mars
200804,6.960729149325786,2008,4,Avril
200805,14.673347760945564,2008,5,Mai
200806,14.607790910604296,2008,6,Juin
200807,17.738255368736475,2008,7,Juillet
200808,19.26786546786547,2008,8,Août
200809,16.3990342990343,2008,9,Septembre
200810,10.846295988013983,2008,10,Octobre
200811,9.04796071250208,2008,11,Novembre
200812,2.8997336440819046,2008,12,Décembre
200901,-2.5872981521558183,2009,1,Janvier
200902,2.936257699350757,2009,2,Février
200903,4.676843682370568,2009,3,Mars
200904,10.09941744340879,2009,4,Avril
200905,12.782040612516644,2009,5,Mai
200906,15.067310252996004,2009,6,Juin
200907,18.736035286284956,2009,7,Juillet
200908,19.125882157123836,2009,8,Août
200909,16.44855193075899,2009,9,Septembre
200910,14.78821571238349,2009,10,Octobre
200911,7.222536617842876,2009,11,Novembre
200912,6.735675045779923,2009,12,Décembre
