Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2012;Brazil;177.8;33.948;-1.043;6.716;587.42;547.16;34.39;14.19;2.929;7.151;1935.516;77.21;1431.951;5.926;18.06;-1.456;1306.823;18.532;15.127;325.765;198.328;44.96;15.127;42.199;15.17;1138.841;1414.605;64.43;199977712.0
2013;Brazil;191.647;42.165;7.788;24.205;603.82;563.49;39.27;21.39;2.406;5.733;2046.477;112.0;1471.003;2.727;24.47;-1.97;1281.078;17.823;10.673;383.828;219.496;66.14;10.673;40.406;14.65;1065.617;1387.057;85.74;201721776.0
2014;Brazil;203.77;41.827;6.326;-0.802;615.64;581.86;45.15;26.17;2.604;4.566;2139.918;136.58;1529.594;3.983;32.66;11.168;1424.148;5.921;6.37;406.555;233.477;77.75;6.37;39.978;14.46;1011.683;1384.521;102.06;203459648.0
2015;Brazil;204.981;33.8;0.594;-19.19;605.99;571.57;47.54;26.12;-1.332;-3.225;2070.909;128.85;1436.562;-6.082;26.97;7.953;1537.403;5.611;1.957;429.365;238.045;75.76;1.957;38.075;13.91;968.777;1407.973;97.39;205188208.0
2016;Brazil;185.15;31.148;-9.675;-7.848;612.19;571.4;49.14;25.01;-2.411;-7.465;1916.32;93.06;1360.291;-5.309;13.98;3.415;1589.903;-13.622;1.34;370.879;241.236;54.07;1.34;40.754;14.97;1019.713;1475.092;77.78;206859584.0
2017;Brazil;195.275;25.329;5.469;-18.682;617.51;581.16;50.6;24.64;0.898;1.539;1945.812;101.9;1374.216;1.024;14.54;4.341;1658.924;1.467;12.676;376.32;271.814;62.72;12.676;40.194;14.86;987.09;1476.988;82.33;208504960.0
2018;Brazil;190.978;27.449;-2.2;8.369;629.12;594.14;52.13;22.68;0.375;-4.559;1857.108;86.69;1307.221;-4.875;11.65;-1.429;1635.215;-4.627;-7.428;358.908;251.624;52.36;-7.428;39.793;14.79;1029.111;1579.067;74.63;210166592.0
2019;Brazil;179.512;25.144;-6.004;-8.395;643.62;618.66;52.69;23.46;1.639;-1.005;1838.441;90.91;1301.595;-0.43;9.46;7.536;1758.446;-0.439;2.322;357.333;257.465;57.99;2.322;40.797;15.16;1048.793;1653.713;77.06;211782880.0
2005;Canada;348.345;410.788;-0.431;4.162;582.62;606.47;8.94;99.17;0.668;-1.556;2469.933;150.78;1245.67;-2.752;16.05;-1.708;1659.355;-0.26;1.368;875.917;1791.524;35.56;1.368;251.141;86.83;1036.429;1072.182;121.7;32215914.0
2006;Canada;337.433;404.735;-3.132;-1.473;573.52;592.63;8.65;91.27;-0.562;-0.217;2464.582;139.71;1256.413;0.862;9.98;5.831;1756.111;-0.592;0.137;870.735;1793.974;38.46;0.137;265.624;92.44;1004.107;1041.744;112.19;32531864.0
2007;Canada;352.77;415.147;4.545;2.573;582.02;612.97;8.45;98.34;3.815;4.661;2579.457;149.36;1290.123;2.683;11.29;3.095;1810.469;7.56;-2.63;936.564;1746.791;39.73;-2.63;251.888;88.19;1039.494;1084.499;119.77;32862458.0
2008;Canada;335.23;413.931;-4.972;-0.293;582.68;614.84;7.69;94.68;-1.189;-2.852;2505.881;141.33;1245.212;-3.481;9.42;-1.562;1782.181;-1.188;-4.687;925.439;1664.916;37.23;-4.687;257.12;88.3;1060.762;1106.266;114.31;33218542.0
2009;Canada;280.078;385.477;-16.452;-6.874;561.51;595.13;8.51;78.51;-3.917;-4.545;2391.977;129.76;1214.623;-2.457;9.3;-0.057;1781.164;-3.043;-6.872;897.275;1550.508;41.95;-6.872;239.755;85.13;1029.638;1085.967;103.26;33593920.0
2010;Canada;286.985;412.009;2.466;6.883;556.12;581.82;9.42;76.85;0.936;3.228;2469.195;130.08;1266.489;4.27;6.31;4.883;1868.131;2.056;-3.521;915.721;1495.911;46.92;-3.521;239.784;85.53;975.296;1043.5;102.09;33963416.0
2011;Canada;258.726;412.45;-9.847;0.107;574.98;611.54;9.29;70.58;3.771;2.559;2532.39;131.3;1268.156;0.132;5.48;5.914;1978.621;9.805;0.99;1005.508;1510.713;55.24;0.99;246.025;88.29;1036.492;1115.566;101.06;34323536.0
2012;Canada;245.41;414.823;-5.147;0.575;565.29;612.27;10.02;61.98;0.305;-0.286;2525.139;124.2;1285.495;1.367;5.7;7.513;2127.278;-1.121;-0.507;994.235;1503.052;56.52;-0.507;247.861;89.49;1042.668;1132.844;95.07;34691876.0
2013;Canada;239.337;423.781;-2.475;2.16;586.85;637.73;10.14;63.04;2.386;1.834;2571.458;122.87;1277.714;-0.605;5.95;6.832;2272.614;6.052;1.075;1054.407;1519.203;53.88;1.075;268.645;97.58;1067.788;1158.95;95.34;35063696.0
